REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Aug-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.555,,,,3
Aug-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,14.357,,,,3
Aug-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,32.011,,,,3
Sep-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,171.803,,,,3
Sep-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,12.634,,,,3
Sep-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.861,,,,3
Sep-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.389,,,,3
Sep-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,6.152,,,,3
Sep-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,3.232,,,,3
Sep-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,47.897,,,,3
Sep-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,63.382,,,,3
Sep-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,16.847,,,,3
Sep-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,2.699,,,,3
Sep-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,0.774,,,,3
Sep-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,13.374,,,,3
Sep-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,31.043,,,,3
Oct-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,191.851,,,,3
Oct-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,11.694,,,,3
Oct-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.692,,,,3
Oct-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.508,,,,3
Oct-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.071,,,,3
Oct-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,3.423,,,,3
Oct-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,65.713,,,,3
Oct-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,51.472,,,,3
Oct-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,18.227,,,,3
Oct-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,2.44,,,,3
Oct-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.052,,,,3
Oct-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,14.735,,,,3
Oct-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,44.745,,,,3
Nov-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,173.188,,,,3
Nov-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,11.412,,,,3
Nov-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.6,,,,3
